"","participant","predicate","predicate_number","context","context_number","response"
"5971",221,"discover",14,"4H",40,0.72
"5972",221,"suggest",17,"18H",6,0.52
"5974",221,"hear",16,"1H",13,0.82
"5975",221,"pretend",15,"13H",8,0.56
"5976",221,"prove",2,"6L",30,0.49
"5977",221,"reveal",3,"9H",35,0.64
"5978",221,"acknowledge",5,"2L",10,0.08
"5979",221,"announce",10,"12L",28,0.07
"5980",221,"see",19,"8L",23,0.18
"5981",222,"inform",12,"10L",36,0.09
"5982",222,"think",7,"4H",40,0.02
"5984",222,"hear",16,"1H",13,0.96
"5985",222,"say",8,"11H",29,0.07
"5986",222,"demonstrate",18,"6L",30,0.15
"5987",222,"announce",10,"2H",25,0.11
"5988",222,"pretend",15,"7H",24,0.02
"5989",222,"be annoyed",9,"3H",33,0.01
"5990",222,"be right",6,"18L",32,0.09
"5991",222,"acknowledge",5,"19L",4,0.12
"5992",222,"prove",2,"13H",8,0.26
"5993",222,"discover",14,"12L",28,0.02
"5995",222,"reveal",3,"5L",38,0.04
"5997",222,"know",11,"17L",15,0.08
"5999",222,"confess",20,"8L",23,0.06
"6000",222,"confirm",4,"20H",3,0.16
"6002",222,"establish",1,"9L",16,0.12
"6003",222,"suggest",17,"15H",34,0.19
"6004",222,"see",19,"14L",14,0.02
"6006",222,"admit",13,"16H",17,0.12
"6007",223,"establish",1,"2L",10,0.13
"6008",223,"think",7,"20L",27,0.05
"6010",223,"know",11,"3H",33,1
"6011",223,"be annoyed",9,"14H",22,1
"6013",223,"say",8,"16L",31,0.01
"6015",223,"announce",10,"17L",15,0.01
"6017",223,"discover",14,"4L",12,0.82
"6018",223,"inform",12,"5H",20,1
"6019",223,"confirm",4,"1L",37,0.59
"6020",223,"admit",13,"10H",18,0.99
"6021",223,"suggest",17,"7L",19,0.02
"6022",223,"acknowledge",5,"12L",28,0.03
"6023",223,"prove",2,"6H",5,0.03
"6024",223,"reveal",3,"8H",1,0.02
"6025",223,"pretend",15,"15L",7,0.03
"6027",223,"see",19,"9H",35,1
"6028",223,"demonstrate",18,"11H",29,0.02
"6029",223,"hear",16,"18H",6,0.89
"6030",223,"confess",20,"19L",4,0.01
"6031",223,"be right",6,"13H",8,0.04
"6033",224,"pretend",15,"13L",26,0.04
"6035",224,"demonstrate",18,"18H",6,0.23
"6036",224,"announce",10,"11H",29,0.7
"6039",224,"see",19,"16H",17,0.87
"6040",224,"know",11,"7L",19,0.9
"6041",224,"think",7,"14L",14,0.17
"6042",224,"admit",13,"20L",27,0.11
"6043",224,"confess",20,"17H",21,0.73
"6044",224,"establish",1,"9L",16,0.12
"6045",224,"hear",16,"19L",4,0.04
"6046",224,"prove",2,"15H",34,0.95
"6047",224,"suggest",17,"12H",2,0.9
"6049",224,"confirm",4,"5L",38,0.05
"6051",224,"discover",14,"10H",18,0.83
"6052",224,"be right",6,"8L",23,0.02
"6053",224,"inform",12,"4H",40,0.92
"6054",224,"say",8,"2H",25,0.92
"6055",224,"acknowledge",5,"1L",37,0
"6056",224,"reveal",3,"3L",9,0.03
"6058",224,"be annoyed",9,"6H",5,0.89
"6059",225,"think",7,"15H",34,0.43
"6061",225,"confirm",4,"2H",25,0.1
"6062",225,"prove",2,"7H",24,0.5
"6064",225,"suggest",17,"19L",4,0.49
"6065",225,"reveal",3,"11L",11,0.19
"6066",225,"discover",14,"18H",6,0.75
"6067",225,"be annoyed",9,"4H",40,0.82
"6068",225,"pretend",15,"16L",31,0.11
"6069",225,"confess",20,"20L",27,0.8
"6070",225,"hear",16,"10L",36,0.84
"6071",225,"be right",6,"8H",1,0.12
"6072",225,"demonstrate",18,"17L",15,0.51
"6073",225,"inform",12,"12L",28,0.78
"6074",225,"say",8,"13L",26,0.16
"6075",225,"establish",1,"9H",35,0.18
"6076",225,"admit",13,"5H",20,0.72
"6077",225,"see",19,"3L",9,0.51
"6078",225,"know",11,"1L",37,0.94
"6081",225,"announce",10,"6H",5,0.5
"6084",225,"acknowledge",5,"14H",22,0.6
"6085",226,"think",7,"15L",7,0.07
"6087",226,"demonstrate",18,"3H",33,0.09
"6088",226,"establish",1,"19L",4,0
"6091",226,"admit",13,"17L",15,0.29
"6092",226,"say",8,"11H",29,0.08
"6093",226,"inform",12,"2H",25,0.61
"6094",226,"prove",2,"18H",6,0.21
"6095",226,"see",19,"14H",22,0.75
"6096",226,"pretend",15,"5L",38,0
"6097",226,"hear",16,"9L",16,0.74
"6100",226,"announce",10,"20L",27,0.55
"6101",226,"acknowledge",5,"13L",26,0.2
"6102",226,"reveal",3,"4L",12,0.71
"6103",226,"suggest",17,"12H",2,0.39
"6104",226,"confess",20,"16H",17,0.63
"6105",226,"know",11,"8L",23,0.64
"6106",226,"discover",14,"1H",13,1
"6107",226,"be annoyed",9,"6L",30,1
"6109",226,"be right",6,"10H",18,0.42
"6110",226,"confirm",4,"7H",24,0.17
"6112",227,"admit",13,"17H",21,0.19
"6113",227,"reveal",3,"13H",8,0.79
"6115",227,"suggest",17,"11L",11,0.13
"6116",227,"announce",10,"5H",20,0.3
"6117",227,"hear",16,"19L",4,0.09
"6118",227,"be annoyed",9,"7L",19,0.87
"6119",227,"pretend",15,"10L",36,0
"6121",227,"know",11,"4H",40,0.83
"6122",227,"confess",20,"20L",27,0
"6123",227,"inform",12,"18L",32,0
"6125",227,"see",19,"9H",35,0.66
"6126",227,"prove",2,"16L",31,0
"6128",227,"be right",6,"12L",28,0
"6129",227,"confirm",4,"1H",13,0.93
"6130",227,"say",8,"3L",9,0
"6131",227,"establish",1,"8H",1,0.23
"6132",227,"demonstrate",18,"14H",22,0.25
"6134",227,"acknowledge",5,"15H",34,0.71
"6135",227,"discover",14,"6L",30,0.22
"6136",227,"think",7,"2H",25,0.3
"6141",228,"be right",6,"19H",39,0.75
"6142",228,"pretend",15,"2H",25,0.14
"6143",228,"announce",10,"20L",27,0
"6144",228,"establish",1,"14H",22,0.46
"6145",228,"suggest",17,"4L",12,0.01
"6146",228,"see",19,"7H",24,0.03
"6147",228,"be annoyed",9,"16H",17,0.38
"6148",228,"hear",16,"12L",28,0.01
"6151",228,"know",11,"10L",36,0.03
"6152",228,"discover",14,"3H",33,0.21
"6153",228,"think",7,"8L",23,0
"6154",228,"confirm",4,"17L",15,0.01
"6155",228,"acknowledge",5,"5L",38,0.22
"6156",228,"reveal",3,"18L",32,0.08
"6157",228,"admit",13,"9H",35,0.49
"6158",228,"demonstrate",18,"6H",5,0.02
"6159",228,"confess",20,"1H",13,0.98
"6160",228,"say",8,"15L",7,0.03
"6161",228,"prove",2,"13L",26,0.01
"6162",228,"inform",12,"11H",29,0.56
"6163",229,"pretend",15,"20H",3,0.05
"6164",229,"acknowledge",5,"6L",30,0.04
"6165",229,"hear",16,"11L",11,0.05
"6166",229,"demonstrate",18,"4L",12,0.15
"6167",229,"inform",12,"10L",36,0.01
"6169",229,"admit",13,"7H",24,0.03
"6170",229,"announce",10,"3L",9,0.07
"6171",229,"prove",2,"14H",22,0.04
"6174",229,"suggest",17,"1H",13,0.04
"6175",229,"be annoyed",9,"18H",6,0.04
"6176",229,"establish",1,"2L",10,0.04
"6177",229,"confess",20,"5H",20,0.05
"6179",229,"reveal",3,"17L",15,0.04
"6181",229,"discover",14,"16H",17,0.14
"6182",229,"think",7,"15H",34,0.1
"6183",229,"know",11,"8H",1,0
"6185",229,"say",8,"19L",4,0.05
"6186",229,"see",19,"9L",16,0.1
"6187",229,"confirm",4,"13L",26,0.01
"6188",229,"be right",6,"12H",2,0.01
"6191",230,"announce",10,"1H",13,0.78
"6193",230,"be annoyed",9,"16L",31,0.83
"6194",230,"suggest",17,"14L",14,0.2
"6195",230,"prove",2,"4H",40,0.09
"6196",230,"know",11,"15H",34,0.61
"6197",230,"hear",16,"18L",32,0.11
"6199",230,"be right",6,"8H",1,0.56
"6200",230,"pretend",15,"17H",21,0.74
"6201",230,"establish",1,"5L",38,0.41
"6202",230,"inform",12,"11H",29,0.64
"6203",230,"say",8,"3L",9,0.61
"6204",230,"confirm",4,"10H",18,0.68
"6205",230,"demonstrate",18,"20L",27,0.21
"6206",230,"reveal",3,"9L",16,0.18
"6207",230,"see",19,"12H",2,0.73
"6209",230,"admit",13,"6H",5,0.34
"6210",230,"confess",20,"19L",4,0.11
"6211",230,"acknowledge",5,"2L",10,0.6
"6213",230,"discover",14,"7L",19,0.18
"6214",230,"think",7,"13H",8,0.59
"6215",231,"confess",20,"4L",12,0.03
"6216",231,"admit",13,"12L",28,0
"6217",231,"discover",14,"8H",1,0.42
"6218",231,"think",7,"11L",11,0.32
"6219",231,"know",11,"18L",32,0.28
"6220",231,"say",8,"17L",15,0.18
"6221",231,"acknowledge",5,"2H",25,0.48
"6222",231,"hear",16,"5L",38,0.09
"6223",231,"prove",2,"1L",37,0.11
"6225",231,"be right",6,"10H",18,0.65
"6226",231,"be annoyed",9,"15H",34,0.36
"6227",231,"pretend",15,"16H",17,0.18
"6230",231,"demonstrate",18,"6H",5,0.25
"6232",231,"confirm",4,"19H",39,0.26
"6233",231,"reveal",3,"3H",33,0.26
"6234",231,"suggest",17,"13H",8,0.16
"6235",231,"announce",10,"20H",3,0.46
"6236",231,"establish",1,"14L",14,0.17
"6237",231,"see",19,"7L",19,0.12
"6239",231,"inform",12,"9L",16,0.17
"6241",232,"prove",2,"17H",21,0.36
"6242",232,"acknowledge",5,"11L",11,0.75
"6243",232,"suggest",17,"8L",23,0.14
"6244",232,"admit",13,"3H",33,0.67
"6246",232,"pretend",15,"10L",36,0.17
"6247",232,"confirm",4,"18H",6,0.75
"6248",232,"know",11,"1L",37,0.97
"6249",232,"be annoyed",9,"4L",12,0.96
"6251",232,"inform",12,"6H",5,0.96
"6252",232,"demonstrate",18,"20H",3,0.75
"6253",232,"establish",1,"19H",39,0.35
"6254",232,"discover",14,"9L",16,0.97
"6255",232,"reveal",3,"5L",38,0.87
"6258",232,"say",8,"16H",17,0.17
"6259",232,"announce",10,"12L",28,0.15
"6261",232,"think",7,"15L",7,0.01
"6262",232,"see",19,"7H",24,0.98
"6263",232,"be right",6,"13L",26,0.01
"6264",232,"hear",16,"14H",22,0.87
"6266",232,"confess",20,"2H",25,0.85
"6267",233,"discover",14,"12H",2,0.89
"6268",233,"say",8,"2L",10,0
"6269",233,"announce",10,"14L",14,0
"6270",233,"hear",16,"19L",4,0
"6271",233,"know",11,"15L",7,0.94
"6272",233,"suggest",17,"3L",9,0
"6274",233,"confess",20,"16L",31,0.04
"6276",233,"see",19,"11L",11,0.95
"6277",233,"admit",13,"17H",21,1
"6278",233,"prove",2,"20L",27,0
"6279",233,"inform",12,"5H",20,0.9
"6280",233,"reveal",3,"10L",36,0.25
"6281",233,"pretend",15,"4H",40,0
"6284",233,"be right",6,"1H",13,1
"6285",233,"confirm",4,"8H",1,0.21
"6286",233,"demonstrate",18,"18L",32,0.38
"6287",233,"establish",1,"6H",5,0.36
"6288",233,"be annoyed",9,"13H",8,1
"6289",233,"think",7,"7H",24,0
"6291",233,"acknowledge",5,"9H",35,0.81
"6294",234,"discover",14,"19L",4,0
"6295",234,"acknowledge",5,"6H",5,0.78
"6297",234,"demonstrate",18,"5L",38,0.51
"6298",234,"confess",20,"9L",16,0.03
"6299",234,"see",19,"20H",3,0.98
"6300",234,"be annoyed",9,"14L",14,0.99
"6301",234,"announce",10,"10L",36,0.92
"6302",234,"pretend",15,"3L",9,0.28
"6305",234,"hear",16,"2H",25,0.93
"6306",234,"say",8,"12H",2,0.01
"6307",234,"establish",1,"4H",40,0.06
"6309",234,"confirm",4,"7L",19,0
"6310",234,"admit",13,"13H",8,0.72
"6311",234,"suggest",17,"18H",6,0.01
"6312",234,"inform",12,"15L",7,0.11
"6314",234,"know",11,"11H",29,0.92
"6315",234,"think",7,"17L",15,0.02
"6316",234,"be right",6,"8H",1,0.02
"6317",234,"prove",2,"1L",37,0.03
"6318",234,"reveal",3,"16H",17,0.95
"6320",235,"be right",6,"16H",17,0.05
"6321",235,"inform",12,"10H",18,0.95
"6324",235,"suggest",17,"17L",15,0.48
"6326",235,"think",7,"4L",12,0.12
"6327",235,"know",11,"18L",32,0.94
"6328",235,"prove",2,"6L",30,0.06
"6330",235,"discover",14,"8H",1,0.97
"6331",235,"confirm",4,"2L",10,0.11
"6332",235,"acknowledge",5,"5H",20,0.96
"6333",235,"demonstrate",18,"7L",19,0.19
"6334",235,"announce",10,"15L",7,0.11
"6335",235,"reveal",3,"12H",2,0.69
"6336",235,"hear",16,"20L",27,0.32
"6337",235,"confess",20,"14H",22,0.86
"6338",235,"establish",1,"3H",33,0.37
"6339",235,"admit",13,"1H",13,0.67
"6340",235,"see",19,"9H",35,0.51
"6341",235,"say",8,"11H",29,0.19
"6342",235,"pretend",15,"13L",26,0.11
"6343",235,"be annoyed",9,"19L",4,0.98
"6345",236,"pretend",15,"18L",32,0.07
"6346",236,"hear",16,"4H",40,0.2
"6347",236,"admit",13,"9H",35,0.36
"6348",236,"reveal",3,"12H",2,0.24
"6349",236,"prove",2,"7H",24,0.06
"6350",236,"inform",12,"5H",20,0.18
"6351",236,"acknowledge",5,"3H",33,0.19
"6352",236,"think",7,"16L",31,0.03
"6353",236,"be annoyed",9,"10H",18,0.27
"6354",236,"announce",10,"20L",27,0.04
"6357",236,"see",19,"2L",10,0.04
"6360",236,"be right",6,"8L",23,0.03
"6361",236,"suggest",17,"15H",34,0.16
"6364",236,"confess",20,"1L",37,0.04
"6365",236,"establish",1,"13L",26,0.04
"6366",236,"know",11,"19H",39,0.3
"6367",236,"demonstrate",18,"11H",29,0.11
"6368",236,"say",8,"6L",30,0.01
"6369",236,"confirm",4,"14L",14,0.06
"6370",236,"discover",14,"17L",15,0.03
"6371",237,"discover",14,"9L",16,0.88
"6372",237,"acknowledge",5,"8L",23,0.85
"6378",237,"say",8,"3L",9,0.1
"6379",237,"confirm",4,"4H",40,0.9
"6380",237,"announce",10,"15L",7,0.04
"6381",237,"be right",6,"14H",22,0.64
"6382",237,"be annoyed",9,"11H",29,0.99
"6383",237,"admit",13,"10L",36,0.9
"6385",237,"prove",2,"2H",25,0.2
"6386",237,"reveal",3,"18H",6,0.56
"6387",237,"pretend",15,"6H",5,0.05
"6388",237,"confess",20,"19L",4,0.22
"6389",237,"see",19,"12H",2,0.99
"6390",237,"inform",12,"17H",21,0.96
"6391",237,"demonstrate",18,"5L",38,0.41
"6392",237,"think",7,"16L",31,0.2
"6393",237,"establish",1,"13L",26,0.23
"6394",237,"know",11,"20H",3,0.96
"6395",237,"hear",16,"7H",24,0.71
"6396",237,"suggest",17,"1L",37,0.04
"6398",238,"establish",1,"9L",16,0
"6399",238,"admit",13,"19L",4,0.14
"6400",238,"announce",10,"3H",33,0.56
"6402",238,"pretend",15,"12H",2,0
"6403",238,"see",19,"5L",38,1
"6405",238,"think",7,"18H",6,0.15
"6406",238,"hear",16,"17H",21,0.91
"6407",238,"reveal",3,"2L",10,0.48
"6408",238,"confess",20,"16L",31,0.62
"6409",238,"prove",2,"7L",19,0.28
"6410",238,"be right",6,"20L",27,0.61
"6411",238,"inform",12,"8H",1,0.92
"6412",238,"be annoyed",9,"15H",34,1
"6413",238,"suggest",17,"4L",12,0.25
"6415",238,"discover",14,"1H",13,0.68
"6416",238,"confirm",4,"13H",8,0.32
"6417",238,"demonstrate",18,"10L",36,0.68
"6418",238,"say",8,"14L",14,0.29
"6420",238,"acknowledge",5,"6H",5,0.84
"6421",238,"know",11,"11H",29,1
"6423",239,"say",8,"7H",24,0.07
"6424",239,"know",11,"12H",2,0.51
"6425",239,"suggest",17,"3H",33,0.79
"6426",239,"think",7,"20L",27,0.1
"6427",239,"announce",10,"11L",11,0.04
"6428",239,"inform",12,"5L",38,0.02
"6430",239,"be right",6,"14L",14,0.01
"6431",239,"establish",1,"13L",26,0.02
"6432",239,"admit",13,"4H",40,0.43
"6433",239,"be annoyed",9,"19L",4,0.17
"6434",239,"pretend",15,"2L",10,0
"6435",239,"confirm",4,"9L",16,0.11
"6436",239,"reveal",3,"8L",23,0.23
"6437",239,"prove",2,"18H",6,0.57
"6438",239,"see",19,"16H",17,0.15
"6440",239,"acknowledge",5,"10H",18,0.56
"6444",239,"demonstrate",18,"6H",5,0.03
"6445",239,"discover",14,"15H",34,0.57
"6446",239,"hear",16,"17L",15,0
"6447",239,"confess",20,"1H",13,0.78
"6449",240,"see",19,"17L",15,0.02
"6450",240,"suggest",17,"9H",35,0.03
"6451",240,"reveal",3,"16L",31,0.03
"6452",240,"say",8,"15H",34,0.03
"6453",240,"confirm",4,"19H",39,0.42
"6454",240,"prove",2,"6L",30,0.01
"6457",240,"establish",1,"7L",19,0.01
"6458",240,"pretend",15,"13H",8,0.03
"6459",240,"inform",12,"11H",29,0.27
"6460",240,"confess",20,"2L",10,0.02
"6461",240,"admit",13,"3H",33,0.03
"6462",240,"acknowledge",5,"18L",32,0.03
"6463",240,"know",11,"14L",14,0.05
"6464",240,"be right",6,"20H",3,0.21
"6465",240,"hear",16,"5L",38,0.08
"6466",240,"be annoyed",9,"4L",12,0.02
"6468",240,"think",7,"1H",13,0.43
"6471",240,"announce",10,"10L",36,0.01
"6473",240,"discover",14,"12H",2,0.01
"6474",240,"demonstrate",18,"8H",1,0.05
"6475",241,"pretend",15,"16L",31,0
"6477",241,"suggest",17,"8H",1,0.25
"6478",241,"establish",1,"7H",24,0
"6479",241,"demonstrate",18,"12H",2,0.3
"6480",241,"be annoyed",9,"9H",35,0.94
"6481",241,"acknowledge",5,"17L",15,0.94
"6483",241,"inform",12,"13L",26,0.86
"6484",241,"prove",2,"14H",22,0.34
"6486",241,"be right",6,"6H",5,0.93
"6487",241,"confirm",4,"18L",32,0.17
"6488",241,"confess",20,"3H",33,0.76
"6489",241,"discover",14,"2H",25,0.73
"6490",241,"know",11,"15L",7,0.91
"6491",241,"say",8,"1L",37,0.1
"6493",241,"announce",10,"4L",12,0.27
"6495",241,"hear",16,"10H",18,0.77
"6496",241,"admit",13,"20L",27,0.21
"6497",241,"think",7,"5H",20,0.35
"6499",241,"see",19,"19L",4,0.81
"6500",241,"reveal",3,"11L",11,0.82
"6502",242,"pretend",15,"17L",15,0
"6503",242,"reveal",3,"14L",14,0.12
"6504",242,"demonstrate",18,"10H",18,0.05
"6505",242,"hear",16,"2L",10,0.08
"6507",242,"confirm",4,"1H",13,0.43
"6509",242,"see",19,"8L",23,0.48
"6510",242,"prove",2,"6L",30,0.01
"6511",242,"inform",12,"15H",34,0.29
"6512",242,"confess",20,"16H",17,0.35
"6514",242,"announce",10,"4H",40,0.17
"6515",242,"suggest",17,"13H",8,0.32
"6516",242,"think",7,"7H",24,0
"6517",242,"acknowledge",5,"5H",20,0.21
"6519",242,"know",11,"3H",33,0.14
"6520",242,"say",8,"12L",28,0.24
"6521",242,"be right",6,"19L",4,0.16
"6522",242,"admit",13,"9L",16,0.14
"6523",242,"discover",14,"18L",32,0.03
"6524",242,"be annoyed",9,"11L",11,1
"6525",242,"establish",1,"20H",3,0.73
"6527",243,"announce",10,"2L",10,0.21
"6528",243,"say",8,"17L",15,0.07
"6529",243,"see",19,"3L",9,0.65
"6532",243,"be right",6,"13H",8,0.82
"6533",243,"reveal",3,"7H",24,0.13
"6534",243,"pretend",15,"8H",1,0.45
"6536",243,"prove",2,"4L",12,0.06
"6537",243,"know",11,"6H",5,0.38
"6538",243,"acknowledge",5,"10L",36,0.18
"6539",243,"discover",14,"5L",38,0.22
"6540",243,"be annoyed",9,"1L",37,0.03
"6541",243,"admit",13,"16L",31,0.62
"6542",243,"think",7,"9H",35,0.65
"6544",243,"confirm",4,"12H",2,0.54
"6546",243,"inform",12,"11H",29,0.55
"6547",243,"suggest",17,"19H",39,0.92
"6549",243,"establish",1,"20L",27,0.19
"6550",243,"confess",20,"14H",22,0.47
"6551",243,"demonstrate",18,"15L",7,0.34
"6552",243,"hear",16,"18H",6,0.43
"6553",244,"confess",20,"11L",11,0
"6554",244,"announce",10,"13H",8,0
"6555",244,"know",11,"20L",27,0
"6556",244,"admit",13,"1H",13,0.72
"6557",244,"be right",6,"4H",40,0.1
"6558",244,"pretend",15,"15L",7,0.11
"6560",244,"demonstrate",18,"6H",5,0
"6561",244,"reveal",3,"3H",33,0.1
"6562",244,"say",8,"16L",31,0.07
"6563",244,"acknowledge",5,"7H",24,0.01
"6564",244,"prove",2,"19L",4,0.03
"6567",244,"inform",12,"17L",15,0.02
"6568",244,"suggest",17,"12H",2,0
"6569",244,"hear",16,"9L",16,0
"6570",244,"be annoyed",9,"2H",25,1
"6571",244,"establish",1,"14L",14,0.01
"6574",244,"confirm",4,"18L",32,0.12
"6575",244,"see",19,"10L",36,0.13
"6576",244,"think",7,"5H",20,0.03
"6577",244,"discover",14,"8H",1,0.04
"6579",245,"establish",1,"20H",3,0
"6580",245,"pretend",15,"7H",24,0
"6581",245,"admit",13,"16H",17,0.78
"6582",245,"prove",2,"8L",23,0.49
"6583",245,"demonstrate",18,"19H",39,0.5
"6584",245,"confirm",4,"5L",38,0
"6585",245,"be annoyed",9,"18H",6,1
"6586",245,"say",8,"1H",13,0.13
"6588",245,"hear",16,"3L",9,1
"6589",245,"confess",20,"6L",30,0.24
"6592",245,"know",11,"12L",28,1
"6593",245,"reveal",3,"15L",7,0
"6594",245,"think",7,"9L",16,0
"6595",245,"acknowledge",5,"10H",18,1
"6597",245,"be right",6,"11L",11,0
"6598",245,"announce",10,"17H",21,0.54
"6599",245,"inform",12,"14H",22,1
"6601",245,"discover",14,"4L",12,0.89
"6603",245,"suggest",17,"2L",10,0
"6604",245,"see",19,"13H",8,1
"6606",246,"think",7,"10L",36,0
"6607",246,"say",8,"3H",33,0.59
"6609",246,"see",19,"9L",16,1
"6610",246,"be annoyed",9,"8H",1,1
"6611",246,"acknowledge",5,"7H",24,1
"6612",246,"hear",16,"20L",27,1
"6613",246,"admit",13,"12H",2,1
"6614",246,"establish",1,"17H",21,0.23
"6615",246,"know",11,"11L",11,0.98
"6617",246,"announce",10,"16H",17,1
"6618",246,"inform",12,"13L",26,1
"6620",246,"prove",2,"15L",7,0.25
"6622",246,"demonstrate",18,"5L",38,0.51
"6623",246,"discover",14,"1L",37,1
"6624",246,"suggest",17,"18H",6,0.1
"6625",246,"pretend",15,"2H",25,0.09
"6626",246,"reveal",3,"14L",14,1
"6627",246,"confirm",4,"4H",40,0.22
"6628",246,"be right",6,"6L",30,0.07
"6630",246,"confess",20,"19H",39,0.06
"6631",247,"inform",12,"4L",12,0.35
"6632",247,"hear",16,"13L",26,0.57
"6633",247,"confirm",4,"5H",20,0
"6634",247,"think",7,"19L",4,0
"6635",247,"know",11,"9H",35,1
"6636",247,"see",19,"6H",5,1
"6637",247,"admit",13,"11L",11,0.91
"6638",247,"announce",10,"17L",15,0.49
"6641",247,"demonstrate",18,"3L",9,0
"6642",247,"be annoyed",9,"16H",17,0.98
"6644",247,"reveal",3,"7H",24,0.51
"6646",247,"establish",1,"8L",23,0.28
"6647",247,"say",8,"18L",32,0
"6649",247,"pretend",15,"10L",36,0
"6651",247,"confess",20,"12L",28,0.35
"6652",247,"prove",2,"20H",3,0
"6653",247,"discover",14,"1H",13,1
"6654",247,"be right",6,"14H",22,0.03
"6655",247,"acknowledge",5,"15H",34,0.68
"6656",247,"suggest",17,"2H",25,0
"6657",248,"confess",20,"6H",5,0.02
"6658",248,"know",11,"18H",6,0.05
"6661",248,"inform",12,"3L",9,0.07
"6662",248,"pretend",15,"9L",16,0.04
"6664",248,"demonstrate",18,"10H",18,0.81
"6665",248,"discover",14,"4L",12,0.02
"6666",248,"be annoyed",9,"13L",26,0.02
"6667",248,"establish",1,"12L",28,0
"6668",248,"be right",6,"16H",17,0.14
"6671",248,"confirm",4,"5L",38,0.1
"6672",248,"suggest",17,"11L",11,0.03
"6673",248,"reveal",3,"17H",21,0.14
"6674",248,"say",8,"15L",7,0.09
"6675",248,"announce",10,"20H",3,0.12
"6676",248,"see",19,"14H",22,0.08
"6677",248,"hear",16,"8H",1,0.13
"6679",248,"think",7,"19L",4,0.05
"6680",248,"prove",2,"2L",10,0.04
"6681",248,"admit",13,"1H",13,0.81
"6682",248,"acknowledge",5,"7H",24,0.02
"6683",249,"discover",14,"17L",15,0.13
"6686",249,"demonstrate",18,"7H",24,0.11
"6687",249,"think",7,"19L",4,0.2
"6688",249,"confess",20,"2L",10,0.06
"6689",249,"prove",2,"11H",29,0.51
"6690",249,"admit",13,"4L",12,0.14
"6691",249,"pretend",15,"20H",3,0.7
"6695",249,"announce",10,"13L",26,0.26
"6696",249,"suggest",17,"6H",5,0.53
"6697",249,"establish",1,"16H",17,0.73
"6698",249,"be annoyed",9,"5L",38,0.39
"6699",249,"acknowledge",5,"10H",18,0.67
"6701",249,"reveal",3,"1H",13,0.82
"6702",249,"confirm",4,"18L",32,0.09
"6703",249,"see",19,"14H",22,0.7
"6704",249,"inform",12,"15L",7,0.18
"6705",249,"say",8,"8L",23,0.34
"6706",249,"hear",16,"9H",35,0.82
"6707",249,"know",11,"12H",2,0.73
"6708",249,"be right",6,"3L",9,0.47
"6709",250,"suggest",17,"20H",3,0.84
"6711",250,"demonstrate",18,"17L",15,0.31
"6712",250,"inform",12,"13L",26,0.28
"6713",250,"announce",10,"19H",39,0.91
"6715",250,"admit",13,"7H",24,0.03
"6716",250,"see",19,"4L",12,0.24
"6717",250,"hear",16,"11L",11,0.61
"6718",250,"reveal",3,"16H",17,0.68
"6719",250,"discover",14,"15H",34,0.9
"6720",250,"say",8,"1L",37,0.19
"6722",250,"confirm",4,"8L",23,0.27
"6723",250,"prove",2,"5L",38,0.11
"6724",250,"be right",6,"10L",36,0.5
"6725",250,"know",11,"6H",5,0.82
"6726",250,"establish",1,"2L",10,0.21
"6727",250,"acknowledge",5,"18H",6,0.81
"6728",250,"pretend",15,"3H",33,0.51
"6731",250,"think",7,"9L",16,0.51
"6733",250,"be annoyed",9,"12H",2,0.99
"6734",250,"confess",20,"14H",22,0.72
"6761",251,"discover",14,"4H",40,0.17
"6762",251,"know",11,"11L",11,0.1
"6763",251,"confess",20,"5L",38,0.25
"6764",251,"suggest",17,"3H",33,0.1
"6765",251,"confirm",4,"13L",26,0.05
"6770",251,"announce",10,"14H",22,0.1
"6771",251,"see",19,"18L",32,0.88
"6772",251,"be right",6,"2H",25,0.09
"6774",251,"establish",1,"8H",1,0.07
"6775",251,"acknowledge",5,"1L",37,0.06
"6776",251,"reveal",3,"20H",3,0.8
"6777",251,"say",8,"10H",18,0.07
"6779",251,"be annoyed",9,"12H",2,0.87
"6780",251,"pretend",15,"19L",4,0.04
"6781",251,"admit",13,"17L",15,0.02
"6782",251,"think",7,"7L",19,0.04
"6783",251,"inform",12,"15L",7,0.03
"6784",251,"prove",2,"6L",30,0
"6785",251,"hear",16,"16H",17,0.98
"6786",251,"demonstrate",18,"9H",35,0.05
"6788",252,"be right",6,"3L",9,0.04
"6789",252,"know",11,"10L",36,0.88
"6790",252,"hear",16,"7L",19,0.94
"6791",252,"establish",1,"14H",22,0.05
"6792",252,"see",19,"2H",25,0.97
"6793",252,"demonstrate",18,"6H",5,0.5
"6794",252,"acknowledge",5,"1L",37,0.88
"6795",252,"think",7,"8H",1,0.05
"6796",252,"be annoyed",9,"11H",29,0.93
"6797",252,"announce",10,"13L",26,0.72
"6799",252,"say",8,"18H",6,0.06
"6800",252,"admit",13,"19H",39,0.85
"6803",252,"pretend",15,"4L",12,0.07
"6804",252,"reveal",3,"9H",35,0.95
"6805",252,"discover",14,"17H",21,0.96
"6806",252,"prove",2,"20L",27,0.94
"6808",252,"confess",20,"15L",7,0.91
"6809",252,"confirm",4,"16L",31,0.95
"6810",252,"inform",12,"12L",28,0.95
"6811",252,"suggest",17,"5H",20,0.03
"6813",253,"establish",1,"19H",39,0.26
